Counter,Date,Price,Open,High,Low,Vol.,Change %
204,Dec.04,448.82,414.76,450.3,414.76,-,8.21%
203,Jan.05,467.12,448.82,477.54,447.18,-,4.08%
202,Feb.05,538.87,467.12,545.09,466.96,-,15.36%
201,Mar.05,610.86,538.87,612.83,534.41,-,13.36%
200,Apr.05,610.61,610.86,617.45,604.92,-,-0.04%
199,May.05,607.76,610.61,612.26,605.94,-,-0.47%
198,Jun.05,604.91,607.76,609.53,600.62,-,-0.47%
197,Jul.05,608.51,604.91,609.59,592.87,-,0.60%
196,Aug.05,627.73,608.51,628.52,608.13,-,3.16%
195,Sep.05,688.04,627.73,689.86,625.79,-,9.61%
194,Oct.05,669.82,688.04,701.64,664.7,-,-2.65%
193,Nov.05,676.64,669.82,688.1,665.02,-,1.02%
192,Dec.05,664.08,676.64,682.06,656.91,-,-1.86%
191,Jan.06,652.15,664.08,678.3,651.74,-,-1.80%
190,Feb.06,655.4,652.15,659.97,644.77,-,0.50%
189,Mar.06,661.75,655.4,662.91,635.97,-,0.97%
188,Apr.06,665.17,661.75,675.97,658.65,-,0.52%
187,May.06,615.74,665.17,668.03,604.48,-,-7.43%
186,Jun.06,609.27,615.74,625.75,587.88,-,-1.05%
185,Jul.06,627.23,609.27,629.17,609.27,-,2.95%
184,Aug.06,664.88,627.23,664.88,627.23,-,6.00%
183,Sep.06,677.72,664.88,691.54,662.99,-,1.93%
182,Oct.06,716.93,677.72,728.87,670.29,-,5.79%
181,Nov.06,780.9,716.93,784.3,709.77,-,8.92%
180,Dec.06,856.27,780.9,856.27,780.72,-,9.65%
179,Jan.07,996.86,856.27,"1,000.78",853.98,-,16.42%
178,Feb.07,850.59,996.86,"1,086.37",828.23,-,-14.67%
177,Mar.07,897.61,850.59,898.89,812.76,-,5.53%
176,Apr.07,890.55,897.61,954.59,880.74,-,-0.79%
175,May.07,904.92,890.55,928.07,874.36,-,1.61%
174,Jun.07,961.55,904.92,961.55,894.46,-,6.26%
173,Jul.07,964.58,961.55,994.85,945.42,-,0.32%
172,Aug.07,908.03,964.58,964.58,867.78,-,-5.86%
171,Sep.07,899.95,908.03,914.81,875.12,-,-0.89%
170,Oct.07,820.21,899.95,899.95,818.93,-,-8.86%
169,Nov.07,719.24,820.21,827.47,715.34,-,-12.31%
168,Dec.07,742.45,719.24,750.2,704.02,-,3.23%
167,Jan.08,632.88,742.45,746.97,625.95,-,-14.76%
166,Feb.08,668.51,632.88,681.86,629.84,-,5.63%
165,Mar.08,638.47,668.51,668.51,634.03,-,-4.49%
164,Apr.08,599.27,638.47,643.66,595.17,-,-6.14%
163,May.08,591.99,599.27,616.55,585.39,-,-1.21%
162,Jun.08,584.1,591.99,604.45,580.24,-,-1.33%
161,Jul.08,516.07,584.1,586.3,480.42,-,-11.65%
160,Aug.08,552.89,516.07,552.89,508.34,-,7.13%
159,Sep.08,471.39,552.89,571.16,453.01,-,-14.74%
158,Oct.08,329.29,471.39,482.67,323.29,-,-30.14%
157,Nov.08,271.15,329.29,363.7,269.89,-,-17.66%
156,Dec.08,274.83,271.15,294.23,260.15,-,1.36%
155,Jan.09,298.01,274.83,319.14,274.83,-,8.43%
154,Feb.09,269.18,298.01,304.35,265.54,-,-9.67%
153,Mar.09,268.22,269.18,278.85,244.99,-,-0.36%
152,Apr.09,277.91,268.22,288.64,264.16,-,3.61%
151,May.09,313.95,278.03,322.29,278.03,-,12.97%
150,Jun.09,299.35,314.14,319.28,290.43,-,-4.65%
149,Jul.09,297.86,299.28,307.43,283.75,-,-0.50%
148,Aug.09,399.21,297.9,404.77,297.9,-,34.03%
147,Sep.09,445.55,399.21,465.35,392.32,-,11.61%
146,Oct.09,414.34,445.35,445.79,407.02,-,-7.00%
145,Nov.09,415.17,413.96,424.16,402.24,-,0.20%
144,Dec.09,404.58,415.11,419.35,393.46,-,-2.55%
143,Jan.10,585.92,405.19,588.05,405.19,-,44.82%
142,Feb.10,521.03,591.73,598.56,521.03,-,-11.07%
141,Mar.10,571.81,533.27,587.02,533.27,-,9.75%
140,Apr.10,609.6,572.21,635.6,567.33,-,6.61%
139,May.10,545.95,612.87,612.87,531.84,-,-10.44%
138,Jun.10,519.95,546.31,566.76,514.99,-,-4.76%
137,Jul.10,541.97,519.68,545.03,504.14,-,4.24%
136,Aug.10,568.12,544.94,596.22,543.35,-,4.82%
135,Sep.10,603.07,568.14,603.74,566.05,-,6.15%
134,Oct.10,646.14,602.85,658.41,596.83,-,7.14%
133,Nov.10,681.92,647.52,694.79,643.26,-,5.54%
132,Dec.10,698.38,681.84,701.22,668.74,-,2.41%
131,Jan.11,745.45,706.63,775.41,705.45,-,6.74%
130,Feb.11,760.52,745.45,790.3,745.25,-,2.02%
129,Mar.11,737.07,762.46,762.91,671.58,-,-3.08%
128,Apr.11,696.51,738.87,738.87,692.01,-,-5.50%
127,May.11,671.49,695.59,699.63,649.01,-,-3.59%
126,Jun.11,644.09,671.28,685.24,644.09,-,-4.08%
125,Jul.11,676.17,642.84,695.27,642.81,-,4.98%
124,Aug.11,602.62,678.95,683.72,542.33,-,-10.88%
123,Sep.11,536.6,606.4,608.09,512.64,-,-10.96%
122,Oct.11,564.47,533.27,607.13,512.65,-,5.19%
121,Nov.11,562.09,560.05,589.87,536.2,-,-0.42%
120,Dec.11,531.17,568.01,570.05,530.51,-,-5.50%
119,Jan.12,547.79,534.89,557.57,534.42,-,3.13%
