"Date","Price","Open","High","Low","Change %"
"Feb 16","1.188","1.221","1.290","1.131","-5.64%"
"Jan 16","1.259","1.490","1.500","1.300","-10.71%"
"Dec 15","1.410","1.560","1.600","1.490","2.92%"
"Nov 15","1.370","1.581","1.670","1.491","-8.67%"
"Oct 15","1.500","1.950","2.004","1.570","-16.67%"
"Sep 15","1.800","2.010","2.180","1.800","-0.55%"
"Aug 15","1.810","2.070","2.090","1.840","-5.73%"
"Jul 15","1.920","2.200","2.350","1.897","1.05%"
"Jun 15","1.900","1.961","2.400","1.950","4.34%"
"May 15","1.821","2.010","2.260","1.850","2.36%"
"Apr 15","1.779","2.160","2.251","1.800","-8.77%"
"Mar 15","1.950","1.961","2.250","1.960","5.41%"
"Feb 15","1.850","1.961","2.160","1.842","-5.85%"
"Jan 15","1.965","2.330","2.350","1.950","-12.55%"
"Dec 14","2.247","2.350","2.360","2.347","-1.40%"
"Nov 14","2.279","2.510","2.530","2.379","-8.10%"
"Oct 14","2.480","3.210","3.210","2.460","-17.06%"
"Sep 14","2.990","3.200","3.393","2.849","0.00%"
"Aug 14","2.990","2.900","3.388","2.886","5.28%"
"Jul 14","2.840","2.981","3.154","2.610","-1.73%"
"Jun 14","2.890","3.811","3.811","2.980","-18.82%"
"May 14","3.560","4.209","4.211","3.650","-10.87%"
"Apr 14","3.994","4.321","4.468","4.090","-4.93%"
"Mar 14","4.201","4.030","4.661","3.960","3.22%"
"Feb 14","4.070","4.133","4.223","3.760","11.48%"
"Jan 14","3.651","3.973","3.991","3.165","-6.14%"
"Dec 13","3.890","4.122","4.225","3.953","-2.99%"
"Nov 13","4.010","4.003","4.220","4.003","3.08%"
"Oct 13","3.890","4.323","4.441","3.940","-6.76%"
"Sep 13","4.172","4.412","4.850","4.300","-0.71%"
"Aug 13","4.202","4.672","4.829","4.400","-7.81%"
"Jul 13","4.558","5.260","5.401","4.653","-11.50%"
"Jun 13","5.150","4.810","5.520","4.700","14.44%"
"May 13","4.500","5.010","5.010","4.400","-4.66%"
"Apr 13","4.720","5.520","5.560","4.870","-12.59%"
"Mar 13","5.400","5.551","5.581","5.430","-1.82%"
"Feb 13","5.500","5.680","5.800","5.650","0.36%"
"Jan 13","5.480","6.001","6.001","5.200","-6.48%"
"Dec 12","5.860","6.310","6.420","6.310","-12.04%"
"Nov 12","6.662","6.662","6.662","6.662","5.75%"
"Oct 12","6.300","6.490","6.753","6.400","4.65%"
"Sep 12","6.020","6.600","6.700","6.327","-5.94%"
"Aug 12","6.400","6.210","6.861","6.180","4.92%"
"Jul 12","6.100","6.252","6.553","6.190","-0.78%"
"Jun 12","6.148","6.351","6.574","6.165","2.43%"
"May 12","6.002","6.048","7.087","6.013","2.79%"
"Apr 12","5.839","6.251","6.836","5.999","-0.87%"
"Mar 12","5.890","6.257","6.721","6.050","-6.51%"
"Feb 12","6.300","6.901","7.100","6.500","-5.67%"
"Jan 12","6.679","7.301","7.397","6.635","-4.57%"
"Dec 11","6.999","7.651","7.651","7.021","5.90%"
"Nov 11","6.609","7.551","7.650","7.050","-10.08%"
"Oct 11","7.350","7.700","8.000","7.400","2.80%"
"Sep 11","7.150","7.478","8.000","7.370","2.17%"
"Aug 11","6.998","7.299","7.750","7.055","2.91%"
"Jul 11","6.800","7.297","7.400","7.088","-1.41%"
"Jun 11","6.897","7.400","7.450","6.390","0.01%"
"May 11","6.896","7.350","7.452","7.290","-0.78%"
"Apr 11","6.950","7.403","8.010","7.240","-2.66%"
"Mar 11","7.140","7.195","8.008","7.194","6.65%"
"Feb 11","6.695","7.200","7.650","7.080","-3.25%"
"Jan 11","6.920","7.495","7.650","7.050","-2.81%"
"Dec 10","7.120","7.272","7.850","7.195","0.20%"
"Nov 10","7.106","7.199","7.850","7.188","-0.04%"
"Oct 10","7.109","7.399","8.495","7.200","-2.76%"
"Sep 10","7.311","7.650","8.734","7.370","2.25%"
"Aug 10","7.150","7.507","8.736","7.450","2.88%"
"Jul 10","6.950","7.701","11.501","7.400","-33.45%"
"Jun 10","10.444","7.550","11.498","7.200","74.07%"
"May 10","6.000","7.258","11.760","6.939","-39.77%"
"Apr 10","9.961","6.646","11.020","6.642","54.27%"
"Mar 10","6.457","0.000","10.175","0.000","-9.24%"
"Feb 10","7.114","8.050","9.700","6.971","-7.08%"
"Jan 10","7.656","10.500","11.001","7.599","-19.39%"
