"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 17","7,855.36","8,769.41","8,786.61","7,792.30","287.52M","-10.42%"
"May 17","8,769.41","8,230.46","8,769.41","8,194.08","387.52M","6.55%"
"Apr 17","8,230.46","8,069.34","8,302.59","8,069.09","189.10M","2.00%"
"Mar 17","8,069.34","7,969.94","8,080.74","7,853.66","330.56M","1.25%"
"Feb 17","7,969.94","7,517.85","8,080.29","7,452.53","368.56M","6.01%"
"Jan 17","7,517.85","7,085.05","7,532.97","7,069.14","494.00M","6.11%"
"Dec 16","7,085.05","6,833.93","7,085.37","6,832.42","423.65M","3.67%"
"Nov 16","6,833.93","6,811.06","6,884.84","6,661.38","236.60M","0.34%"
"Oct 16","6,811.06","6,936.84","6,981.98","6,768.32","489.88M","-1.81%"
"Sep 16","6,936.84","7,035.72","7,104.11","6,897.14","296.74M","-1.41%"
"Aug 16","7,035.72","6,725.19","7,048.84","6,663.67","124.14M","4.62%"
"Jul 16","6,725.19","6,473.41","6,743.60","6,420.87","199.32M","3.89%"
"Jun 16","6,473.41","6,360.32","6,675.09","5,899.96","260.25M","1.78%"
"May 16","6,360.32","6,447.99","6,509.30","6,261.75","229.75M","-1.36%"
"Apr 16","6,447.99","6,737.73","6,763.00","6,447.37","285.91M","-4.30%"
"Mar 16","6,737.73","6,389.40","6,856.72","6,372.98","322.19M","5.45%"
"Feb 16","6,389.40","6,268.84","6,500.79","6,009.88","247.31M","1.92%"
"Jan 16","6,268.84","7,004.32","7,004.32","6,009.97","292.42M","-10.50%"
"Dec 15","7,004.32","7,018.11","7,125.47","6,782.25","282.55M","-0.20%"
"Nov 15","7,018.11","7,205.30","7,384.78","7,018.11","273.17M","-2.60%"
"Oct 15","7,205.30","6,981.62","7,226.74","6,975.55","339.24M","3.20%"
"Sep 15","6,981.62","6,997.79","7,229.97","6,944.19","157.35M","-0.23%"
"Aug 15","6,997.79","7,603.24","7,660.94","6,663.95","266.33M","-7.96%"
