"Date","Price","Open","High","Low","Change %"
"Jan 19","0.350","0.350","0.350","0.350","75.00%"
"Dec 18","0.200","0.200","0.200","0.200","0.00%"
"Nov 18","0.200","0.200","0.200","0.200","0.00%"
"Oct 18","0.200","0.200","0.200","0.200","0.00%"
"Sep 18","0.200","0.200","0.200","0.200","0.00%"
"Aug 18","0.200","0.200","0.200","0.200","33.33%"
"Jul 18","0.150","0.150","0.150","0.150","0.00%"
"Jun 18","0.150","0.150","0.150","0.150","0.00%"
"May 18","0.150","0.150","0.150","0.150","0.00%"
"Apr 18","0.150","0.150","0.150","0.150","0.00%"
"Mar 18","0.150","0.150","0.150","0.150","0.00%"
"Feb 18","0.150","0.150","0.150","0.150","0.00%"
"Jan 18","0.150","0.150","0.150","0.150","50.00%"
"Dec 17","0.100","0.100","0.100","0.100","100.00%"
"Nov 17","0.050","0.050","0.050","0.050","0.00%"
"Oct 17","0.050","0.050","0.050","0.050","0.00%"
"Sep 17","0.050","0.050","0.050","0.050","0.00%"
"Aug 17","0.050","0.050","0.050","0.050","0.00%"
"Jul 17","0.050","0.050","0.050","0.050","0.00%"
"Jun 17","0.050","0.050","0.050","0.050","0.00%"
"May 17","0.050","0.050","0.050","0.050","0.00%"
"Apr 17","0.050","0.050","0.050","0.050","0.00%"
"Mar 17","0.050","0.050","0.050","0.050","0.00%"
"Feb 17","0.050","0.050","0.050","0.050","0.00%"
"Jan 17","0.050","0.050","0.050","0.050","0.00%"
"Dec 16","0.050","0.050","0.050","0.050","-75.00%"
"Nov 16","0.200","0.200","0.200","0.200","300.00%"
"Oct 16","0.050","0.050","0.050","0.050","0.00%"
"Sep 16","0.050","0.050","0.050","0.050","0.00%"
"Aug 16","0.050","0.050","0.050","0.050","0.00%"
"Jul 16","0.050","0.050","0.050","0.050","-50.00%"
"Jun 16","0.100","0.100","0.100","0.100","-50.00%"
"May 16","0.200","0.200","0.200","0.200","33.33%"
"Apr 16","0.150","0.150","0.150","0.150","-6.25%"
"Mar 16","0.160","0.160","0.160","0.160","-46.67%"
