"Date","Price","Open","High","Low","Change %"
"May 04","5.973","5.973","5.973","5.973","4.79%"
"Apr 04","5.700","5.700","5.700","5.700","4.01%"
"Mar 04","5.480","5.480","5.480","5.480","-0.90%"
"Feb 04","5.530","5.530","5.530","5.530","-3.49%"
"Jan 04","5.730","5.730","5.730","5.730","-1.88%"
"Dec 03","5.840","5.840","5.840","5.840","-2.83%"
"Nov 03","6.010","6.010","6.010","6.010","-3.84%"
"Oct 03","6.250","6.250","6.250","6.250","0.16%"
"Sep 03","6.240","6.240","6.240","6.240","0.65%"
"Aug 03","6.200","6.200","6.200","6.200","-0.80%"
"Jul 03","6.250","6.250","6.250","6.250","3.48%"
"Jun 03","6.040","6.040","6.040","6.040","-8.07%"
"May 03","6.570","6.570","6.570","6.570","-4.51%"
"Apr 03","6.880","6.880","6.880","6.880","0.44%"
"Mar 03","6.850","6.850","6.850","6.850","10.48%"
"Feb 03","6.200","6.200","6.200","6.200","-5.78%"
"Jan 03","6.580","6.580","6.580","6.580","-11.56%"
"Dec 02","7.440","7.440","7.440","7.440","-2.23%"
"Nov 02","7.610","7.610","7.610","7.610","-7.42%"
"Oct 02","8.220","8.220","8.220","8.220","-0.96%"
